Prix de la maison,Option,Frais d'enregistrement,Frais de crédit,Frais de notaire,Travaux,Crédit attribué,Apport personnel,Fonds propres nécessaires,Durée du crédit (années),Taux d'intérêt,Mensualité
110000,12.5%,13750.0,3834.26,17584.260000000002,40000,94500.0,55500.0,73084.26000000001,20,0.034,543.2184252085992
110000,12.5%,13750.0,3834.26,17584.260000000002,40000,94500.0,55500.0,73084.26000000001,20,0.034,543.2184252085992
110000,12.5%,13750.0,3834.26,17584.260000000002,40000,120000.0,30000.0,47584.26,20,0.034,689.8011748680625
